fid,field_1,Unnamed_ 0,Parcel ID,Address,Sale Date,Sale Price,Qualified,Reason,Acres,Parcel  Cl,Year  Buil,Square Ft,Price Per,lat,long,GEOID
"351","253","253",10077A000024,5307 MONARCH DR,3/30/2022,"$328,000.00",Qualified,FM,0.59,Residential,"2003","2035",$161.18,34.3894533,-83.8978809,"131390003052"
"352","256","256",10100 000026,3958 BARK CAMP PL,3/30/2022,"$268,000.00",Qualified,FM,0.41,Residential,"1983","1620",$165.43,34.3807464,-83.8878221,"131390003052"
"353","382","382",10077A000049,5448 SPECKLED WOOD LN,3/23/2022,"$585,000.00",Qualified,FM,0.59,Residential,"2003","2228",$262.57,34.3866358,-83.8963701,"131390003052"
"354","391","391",10077A000032,5359 MONARCH DR,3/22/2022,"$300,000.00",Qualified,FM,0.59,Residential,"2002","2190",$136.99,34.3883505,-83.8943833,"131390003052"
"355","406","406",10082 000005,4042 LEDAN EXT,3/21/2022,"$268,000.00",Qualified,FM,1.38,Residential,"1959","1504",$178.19,34.3570348,-83.8970633,"131390003052"
"356","431","431",10077 000015,4946 RED OAK DR,3/18/2022,"$350,000.00",Qualified,FM,0.49,Residential,"1977","1872",$186.97,34.3871594,-83.9099243,"131390003052"
"357","446","446",10077A000023,5303 MONARCH DR,3/18/2022,"$370,000.00",Qualified,FM,0.67,Residential,"2002","2295",$161.22,34.3895334,-83.8979235,"131390003052"
"358","478","478",10075 000017,4433 SARDIS DR,3/14/2022,"$235,000.00",Qualified,FM,0.35,Residential,"1981","1072",$219.22,34.375743,-83.902682,"131390003052"
"359","524","524",10074 000077,4603 ENFIELD DR,3/11/2022,"$375,000.00",Qualified,FM,0.59,Residential,"2003","1584",$236.74,34.3639782,-83.9084346,"131390003052"
"360","620","620",10074 000162,4710 MIDDLEBORO LN,3/4/2022,"$327,000.00",Qualified,FM,0.68,Residential,"2005","1710",$191.23,34.3630731,-83.909345,"131390003052"
"361","653","653",10074 000088,4443 ENFIELD DR,3/1/2022,"$377,200.00",Qualified,FM,0.68,Residential,"2007","2175",$173.43,34.3655332,-83.9058273,"131390003052"
"362","687","687",10079 001096,5585 CHECKERED SPOT DR,2/28/2022,"$425,000.00",Qualified,FM,1.06,Residential,"2021","2254",$188.55,34.3849493,-83.8954595,"131390003052"
"363","710","710",10074 000076,4607 ENFIELD DR,2/25/2022,"$345,000.00",Qualified,FM,0.7,Residential,"2003","1582",$218.08,34.3640399,-83.908807,"131390003052"
"364","796","796",10077 000013B,5351 ELROD RD,2/22/2022,"$425,000.00",Qualified,FM,3.52,Residential,"1987","2621",$162.15,34.3877924,-83.9039857,"131390003052"
"365","811","811",10079 001031,4210 BELVEDERE DR,2/18/2022,"$265,000.00",Qualified,FM,0.91,Residential,"2006","1366",$194.00,34.3859851,-83.8915478,"131390003052"
"366","831","831",10077A000079,5437 SPECKLED WOOD LN,2/18/2022,"$320,000.00",Qualified,FM,0.6,Residential,"2011","1554",$205.92,34.3873328,-83.8960597,"131390003052"
"367","890","890",10079 002031,4104 BELVEDERE CIR,2/14/2022,"$285,000.00",Qualified,FM,0.49,Residential,"2020","1296",$219.91,34.3797619,-83.8905957,"131390003052"
"368","1001","1001",10074 000194,4501 WATERMAN DR,2/2/2022,"$337,000.00",Qualified,FM,0.59,Residential,"2007","2162",$155.87,34.3634678,-83.9025164,"131390003052"
"369","1147","1147",10100 000070,4041 SUMMIT CHSE,1/24/2022,"$270,000.00",Qualified,FM,0.99,Residential,"1989","1608",$167.91,34.3836455,-83.8853382,"131390003052"
"370","1189","1189",10075 000005C,4403 SARDIS RD,1/20/2022,"$252,500.00",Qualified,FM,0.63,Residential,"1976","1482",$170.38,34.3754054,-83.9002401,"131390003052"
"371","2","2",12019A000023,5500 NORTHWOODS RD,7/25/2022,"$310,000.00",Qualified,FM,2.56,Residential,"1970","1443",$214.83,34.4469667,-83.8164531,"131390002041"
"372","73","73",12006 000028,5545 ODUM SMALLWOOD RD,5/2/2022,"$355,100.00",Qualified,FM,2.4,Residential,"1998","1995",$177.99,34.4413949,-83.8266064,"131390002041"
"373","84","84",11014A000057,4614 MONTCLAIR CIR,4/22/2022,"$675,000.00",Qualified,FM,1,Residential,"2003","2562",$263.47,34.4116614,-83.8442774,"131390002041"
"374","118","118",12019B000006,2732 QUILLIANS DR,4/14/2022,"$375,000.00",Qualified,FM,1.13,Residential,"1986","1470",$255.10,34.4446012,-83.80978,"131390002041"
"375","569","569",12019B000036,2715 QUILLIANS DR,3/8/2022,"$270,000.00",Qualified,FM,1.52,Residential,"1984","2001",$134.93,34.4428784,-83.8089924,"131390002041"
"376","693","693",12026 000039,4329 HUNTER RD,2/28/2022,"$285,207.00",Qualified,FM,1.83,Residential,"2000","1132",$251.95,34.4079781,-83.8076246,"131390002041"
"377","1210","1210",12019B000047,2810 QUILLIANS CT,1/18/2022,"$305,000.00",Qualified,FM,1.09,Residential,"1987","1838",$165.94,34.4424352,-83.8096142,"131390002041"
"378","1271","1271",12022A000002,4604 BABBLING CREEK WAY,1/12/2022,"$399,000.00",Qualified,FM,0.83,Residential,"2004","2814",$141.79,34.4182658,-83.8155827,"131390002041"
"379","411","411",15025A000058,3638 BELMONT HWY,3/21/2022,"$278,000.00",Qualified,FM,1.5,Residential,"2006","1786",$155.66,34.1865899,-83.7566557,"131390012022"
"380","512","512",15025 000067,3415 YOUNG DR,3/11/2022,"$180,000.00",Qualified,FM,1.22,Residential,"2004","720",$250.00,34.1922331,-83.7652468,"131390012022"
"381","699","699",15014F000007,3232 BLUFFTON DR,1/13/2022,"$286,700.00",Qualified,FM,1.86,Residential,"2018","1321",$217.03,34.2293174,-83.7496229,"131390012022"
"382","700","700",15014F000007,3232 BLUFFTON DR,2/28/2022,"$336,000.00",Qualified,FM,1.86,Residential,"2018","1321",$254.35,34.2293174,-83.7496229,"131390012022"
"383","703","703",15024 000011,4161 ROY PARKS RD,2/25/2022,"$75,000.00",Qualified,FM,0.43,Residential,"1960","1356",$55.31,34.2114252,-83.7768185,"131390012022"
"384","704","704",15024 000011,4161 ROY PARKS RD,2/25/2022,"$350,000.00",Unqualified,"51",0.43,Residential,"1960","1356",$258.11,34.2114252,-83.7768185,"131390012022"
"385","718","718",15024 000074,4147 ROY PARKS RD,2/25/2022,"$225,000.00",Qualified,FM,1.35,Residential,"1984","1188",$189.39,34.2109073,-83.7759891,"131390012022"
"386","719","719",15024 000074,4147 ROY PARKS RD,2/25/2022,"$350,000.00",Unqualified,"51",1.35,Residential,"1984","1188",$294.61,34.2109073,-83.7759891,"131390012022"
"387","737","737",15024 000013,4155 ROY PARKS RD,2/25/2022,"$175,000.00",Qualified,FM,0.89,Residential,"1955","776",$225.52,34.2112332,-83.7764453,"131390012022"
"388","738","738",15024 000013,4155 ROY PARKS RD,2/25/2022,"$350,000.00",Unqualified,"51",0.89,Residential,"1955","776",$451.03,34.2112332,-83.7764453,"131390012022"
"389","1141","1141",15024C000031,3623 SILVER CREEK DR,1/24/2022,"$236,000.00",Qualified,FM,0.81,Residential,"2015","1400",$168.57,34.2145098,-83.757054,"131390012022"
"390","94","94",15015 000046A,3488 DOVER RD,4/18/2022,"$595,000.00",Unqualified,MP,1.5,Residential,"1976","1584",$375.63,34.2525005,-83.7298129,"131390007022"
"391","97","97",15015 000111,3488 DOVER RD,4/18/2022,"$595,000.00",Unqualified,MP,12.8,Residential,"1977","2238",$265.86,34.2525005,-83.7298129,"131390007022"
"392","124","124",15010 000029,3829 LEBANON CHURCH RD,4/13/2022,"$300,000.00",Qualified,FM,11,Residential,"1970","1518",$197.63,34.2793399,-83.7038466,"131390007022"
"393","463","463","15015D000016",3309 FOREST BROOK XING,3/16/2022,"$80,000.00",Qualified,FM,0.88,Residential,"1989","960",$83.33,34.2625866,-83.7334236,"131390007022"
"394","563","563","15015D000072",3537 TRIPLE CREEK BND,3/8/2022,"$150,000.00",Unqualified,"5",0.92,Residential,"1990","1512",$99.21,34.2704943,-83.7240437,"131390007022"
"395","739","739",15015B000132,3022 NATURE WALK DR,2/25/2022,"$270,000.00",Qualified,FM,0.66,Residential,"2000","2082",$129.68,34.2670572,-83.73969,"131390007022"
"396","1256","1256",15015 000165,3890 COKER RD,1/13/2022,"$205,000.00",Qualified,FM,1.69,Residential,"2003","2432",$0.00,34.2535645,-83.7176512,"131390007022"
"397","20","20",10142 000082,3715 SHOPE RD,6/24/2022,"$400,000.00",Qualified,FM,2.21,Residential,"2001","1872",$213.68,34.3866928,-83.8118939,"131390002042"
"398","172","172",10132 000138,4843 PLANTATION OVLK,4/6/2022,"$605,000.00",Unqualified,"26",1.08,Residential,"2021","2752",$219.84,34.3786495,-83.8330704,"131390002042"
"399","178","178",10141 000052,4004 DONNA DR,4/5/2022,"$346,100.00",Qualified,FM,0.51,Residential,"1996","1706",$202.87,34.3828123,-83.8137176,"131390002042"
"400","193","193",10128 000057,5541 LITTLE RIVER CIR,4/4/2022,"$810,000.00",Qualified,FM,0.45,Residential,"1973","1200",$675.00,34.3693764,-83.8358879,"131390002042"
"401","455","455",10132 000076,5208 JANICE CIR,3/17/2022,"$288,000.00",Qualified,FM,0.53,Residential,"1993","1740",$165.52,34.382013,-83.8265442,"131390002042"
"402","510","510",10145 000114,3463 BIG VIEW RD,3/11/2022,"$984,732.00",Qualified,FM,0.2,Residential,"2021","2188",$450.06,34.37502,-83.8098996,"131390002042"
"403","572","572",10133 009011,5083 WESTLAKE DR,3/8/2022,"$345,000.00",Qualified,FM,0.29,Residential,"1994","960",$359.38,34.3731406,-83.8308744,"131390002042"
"404","644","644",10128 000106,4805 PLANTATION OVLK,3/1/2022,"$495,000.00",Qualified,FM,1,Residential,"2021","2752",$179.87,34.376542,-83.8336216,"131390002042"
"405","647","647",10132 000078,5216 JANICE CIR,3/1/2022,"$192,000.00",Qualified,FM,1.06,Residential,"1969","890",$215.73,34.3825529,-83.8267617,"131390002042"
"406","655","655",10132 000030,5216 LAUREL LN,3/1/2022,"$422,500.00",Qualified,FM,0.61,Residential,"2021","2544",$166.08,34.381305,-83.8257776,"131390002042"
"407","669","669",10131A000036,5019 CUMBERLAND RUN,2/28/2022,"$321,100.00",Qualified,FM,1.36,Residential,"1998","1746",$183.91,34.391825,-83.8314545,"131390002042"
"408","773","773",10142 000031,3932 DARRYL LN,2/23/2022,"$160,000.00",Qualified,FM,0.45,Residential,"1984","2944",$54.35,34.393031,-83.8176964,"131390002042"
"409","807","807",10142 000059,3766 JAMES ED RD,2/18/2022,"$220,000.00",Qualified,FM,0.93,Residential,"1990","1518",$144.93,34.3901072,-83.8153755,"131390002042"
"410","904","904",10131C000028,4908 GAIR LOCH LN,2/11/2022,"$550,000.00",Unqualified,"51",1.36,Residential,"1997","4122",$133.43,34.39013,-83.8226696,"131390002042"
"411","963","963",10142 000078,3820 SHOPE RD,2/7/2022,"$305,000.00",Qualified,FM,2.22,Residential,"1995","1732",$176.10,34.3868352,-83.8147123,"131390002042"
"412","1004","1004",10141 000030,3848 SHOPE RD,2/2/2022,"$345,000.00",Qualified,FM,0.95,Residential,"1997","2184",$157.97,34.3857765,-83.8172612,"131390002042"
"413","1047","1047",12025 000022,3905 CLEVELAND HWY,1/31/2022,"$135,000.00",Qualified,FM,0.89,Residential,"1957","816",$165.44,34.3987154,-83.8062981,"131390002042"
"414","1128","1128",10120 000005,4789 DESTITUTE WAY,1/25/2022,"$690,000.00",Qualified,FM,0.46,Residential,"1987","1670",$413.17,34.3750195,-83.8450438,"131390002042"
"415","1178","1178",10132 000016,5274 FOREST COVE RD,1/21/2022,"$1,200,000.00",Qualified,FM,1.91,Residential,"2000","1012",$216.10,34.379371,-83.822548,"131390002042"
"416","1287","1287",11039 000019,6101 OLD HOWSER MILL RD,1/11/2022,"$300,000.00",Qualified,FM,3.13,Residential,"1993","1296",$231.48,34.4195738,-83.8664574,"131390002042"
"417","1301","1301",11037 000120,4438 FLAGSHIP DR,1/10/2022,"$1,810,000.00",Qualified,FM,0.73,Residential,"2007","3928",$460.79,34.3985845,-83.8689452,"131390002042"
"418","186","186",11080 000002,6009 OLD DAHLONEGA HWY,4/4/2022,"$425,000.00",Qualified,FM,5.65,Residential,"2000","1974",$215.30,34.4347174,-83.9025992,"131390003032"
"419","296","296",11081 000008,5922 ELLAND HEIGHTS RD,3/29/2022,"$240,000.00",Qualified,FM,1.23,Residential,"2018","1904",$0.00,34.4300568,-83.9033092,"131390003032"
"420","562","562",11052 000003A,6965 CLAUDE PARKS RD,3/8/2022,"$200,000.00",Qualified,FM,1.87,Residential,"2007","0",$0.00,34.4724919,-83.8813224,"131390003032"
"421","918","918",11092 000006,6790 PECK CIR,2/11/2022,"$265,000.00",Qualified,FM,2.79,Residential,"2008","1600",$165.63,34.4630425,-83.9102761,"131390003032"
"422","1265","1265",11054 000017,6663 CLAUDE PARKS RD,1/12/2022,"$370,550.00",Unqualified,"51",3.1,Residential,"1986","1354",$273.67,34.4584594,-83.8871598,"131390003032"
"423","409","409",11158A000181,7720 ELM CIR,3/21/2022,"$254,900.00",Qualified,FM,0.28,Residential,"2019","1008",$252.88,34.414682,-83.979242,"131390003053"
"424","490","490",11158A000020,8048 BEACHWOOD DR,3/14/2022,"$550,000.00",Qualified,FM,0.32,Residential,"1983","1496",$367.65,34.4159387,-83.98197,"131390003053"
"425","497","497",11155 000037,7918 SOUTH BARKERS BEND DR,3/14/2022,"$800,000.00",Qualified,FM,0.9,Residential,"1962","2016",$396.83,34.4084386,-83.9738888,"131390003053"
"426","574","574",11135 000022,6924 UNDERWOOD DR,3/8/2022,"$451,500.00",Qualified,FM,0.51,Residential,"2021","1452",$310.95,34.417096,-83.9614134,"131390003053"
"427","621","621",11106 000009,5929 GLENN BURTZ RD,3/4/2022,"$241,000.00",Qualified,FM,3.33,Residential,"1980","1692",$142.43,34.4223631,-83.9215103,"131390003053"
"428","649","649",11158A000184,7742 ELM CIR,1/26/2022,"$265,000.00",Qualified,FM,0.35,Residential,"2004","1526",$173.66,34.4151885,-83.9796657,"131390003053"
"429","841","841",11158A000195,7644 MAPLE PL,2/17/2022,"$247,500.00",Qualified,FM,0.34,Residential,"1972","2814",$87.95,34.412582,-83.9769271,"131390003053"
"430","1240","1240",11129 000023,6393 YELLOW CREEK RD,1/14/2022,"$560,000.00",Qualified,FM,8.66,Residential,"1995","3259",$171.83,34.4263229,-83.944664,"131390003053"
"431","1249","1249",11134 000007,7328 IVY CIR,1/13/2022,"$565,000.00",Qualified,FM,0.64,Residential,"1985","1477",$382.53,34.4144792,-83.9654757,"131390003053"
"432","35","35",10116 000010,3955 MOUNT VERNON RD,6/3/2022,"$825,000.00",Qualified,FM,0.43,Residential,"2009","2595",$317.92,34.3857445,-83.86126,"131390003031"
"433","499","499",11062 002028,5103 TWIN OAKS LN,3/14/2022,"$275,000.00",Qualified,FM,0.27,Residential,"1999","1322",$208.02,34.4102094,-83.8958941,"131390003031"
"434","593","593",11060 000094,4454 ROBERTA CIR,3/4/2022,"$156,000.00",Qualified,FM,0.39,Residential,"1963","1223",$127.56,34.3991989,-83.8777203,"131390003031"
"435","886","886",11061 007003,5042 HOPEWELL RD,2/14/2022,"$240,000.00",Qualified,FM,3.59,Residential,"1968","1420",$169.01,34.4039813,-83.8926447,"131390003031"
"436","1026","1026",11060 000025,4864 NEWTON DR,1/31/2022,"$400,000.00",Qualified,FM,0.51,Residential,"1965","1161",$344.53,34.404048,-83.879566,"131390003031"
"437","1228","1228",11062 002046,5132 OAK FIELD CT,1/14/2022,"$245,000.00",Qualified,FM,0.29,Residential,"2001","1300",$188.46,34.4115254,-83.8971772,"131390003031"
"438","104","104",10015 000057,5619 COOL SPRINGS RD,4/15/2022,"$185,000.00",Qualified,FM,1.37,Residential,"1997","1782",$0.00,34.3625204,-83.9566273,"131390003042"
"439","150","150",10011 000040,6120 CARDINAL DR,4/8/2022,"$349,999.00",Qualified,FM,0.37,Residential,"1969","1832",$191.05,34.3888758,-83.9716771,"131390003042"
"440","179","179",10014 000026,5727 ROCKY RIDGE RUN,4/5/2022,"$314,100.00",Qualified,FM,1.02,Residential,"2016","1197",$262.41,34.3766172,-83.9579125,"131390003042"
"441","217","217",10008 000016,5984 WELLINGTON AVE,3/31/2022,"$500,000.00",Qualified,FM,0.7,Residential,"1997","2334",$214.22,34.3676064,-83.967791,"131390003042"
"442","222","222",10017 000072,6838 SOUTH BLUFF CT,3/31/2022,"$1,300,000.00",Qualified,FM,0.33,Residential,"2007","3758",$345.93,34.3496195,-83.9604728,"131390003042"
"443","395","395",10011 000090,6113 GRANT FORD RD,3/22/2022,"$410,000.00",Unqualified,"51",0.65,Residential,"1980","1883",$217.74,34.3874064,-83.9710692,"131390003042"
"444","449","449",10032 000004,5118 COOL SPRINGS RD,3/17/2022,"$240,000.00",Qualified,FM,1.35,Residential,"1940","792",$303.03,34.3776421,-83.9411704,"131390003042"
"445","627","627",10028 000078,5753 GRANT STATION DR,3/2/2022,"$411,000.00",Qualified,FM,0.64,Residential,"2007","2210",$185.97,34.3791594,-83.9504989,"131390003042"
"446","639","639",10028 000009,5730 GRANT STATION DR,3/1/2022,"$404,000.00",Qualified,FM,0.61,Residential,"2017","2787",$144.96,34.3781458,-83.9529052,"131390003042"
"447","683","683",10007 000062,6153 WESTCHESTER PL,2/28/2022,"$430,500.00",Qualified,FM,0.59,Residential,"2018","2561",$168.10,34.3555733,-83.9690726,"131390003042"
"448","706","706",10017 000087,6760 HEDGE ROW LN,2/25/2022,"$891,000.00",Unqualified,"26",0.49,Residential,"2006","4754",$187.42,34.3487885,-83.9642147,"131390003042"
"449","760","760",10010 000015,6040 BLUEWATER BLVD,2/24/2022,"$697,500.00",Qualified,FM,1.79,Residential,"2021","0",$0.00,34.3821485,-83.9670219,"131390003042"
"450","819","819",10028 000067,5904 WATERTON CT,2/18/2022,"$420,000.00",Qualified,FM,0.68,Residential,"2020","3080",$136.36,34.3803171,-83.950507,"131390003042"
"451","848","848",10017 000152,7018 HAMMOCK TRL,2/17/2022,"$551,900.00",Qualified,FM,0.36,Residential,"2021","1993",$276.92,34.3533241,-83.9620026,"131390003042"
"452","880","880","10011D000033",6134 TIMBERIDGE DR,2/15/2022,"$225,000.00",Qualified,FM,0.36,Residential,"1991","624",$360.58,34.3902562,-83.9707676,"131390003042"
"453","901","901",10011 000100,6211 EAGLE CT,2/11/2022,"$520,000.00",Qualified,FM,0.34,Residential,"2021","1969",$264.09,34.390061,-83.974534,"131390003042"
"454","993","993",10011 000046,6113 CARDINAL DR,2/4/2022,"$365,000.00",Qualified,FM,0.33,Residential,"2019","1986",$183.79,34.3883741,-83.9715738,"131390003042"
"455","1166","1166",10015 000048,5941 WELLINGTON AVE,1/21/2022,"$437,000.00",Qualified,FM,0.74,Residential,"2001","2759",$158.39,34.3628163,-83.9661372,"131390003042"
"456","1299","1299","10011D000021",6156 TIMBERIDGE DR,1/10/2022,"$425,000.00",Qualified,FM,0.64,Residential,"2015","1500",$283.33,34.3915453,-83.9715117,"131390003042"
"457","1314","1314",10016 000074,6630 WESTERLY LN,1/7/2022,"$890,000.00",Qualified,FM,1.16,Residential,"2007","2820",$315.60,34.3521577,-83.9659512,"131390003042"
"458","370","370",08024 002028,3518 WESTGATE DR,3/24/2022,"$275,000.00",Qualified,FM,0.51,Residential,"1976","1690",$162.72,34.2584216,-83.8713645,"131390011021"
"459","459","459",08024 002008,2899 OLD FLOWERY BRANCH RD,3/16/2022,"$180,000.00",Qualified,FM,0.61,Residential,"1974","2038",$88.32,34.2576888,-83.8727102,"131390011021"
"460","650","650",08009B003011,2237 HENDERSON ST,3/1/2022,"$160,000.00",Qualified,FM,0.28,Residential,"2002","840",$190.48,34.2561811,-83.8492795,"131390011021"
"461","853","853",08009B001004,2170 GRANT ST,2/16/2022,"$79,000.00",Qualified,FM,0.2,Residential,"1935","816",$96.81,34.2578559,-83.8483992,"131390011021"
"462","1144","1144",08012 003005D,3110 BUICE CIR,1/24/2022,"$278,000.00",Qualified,FM,0.82,Residential,"1965","1418",$196.05,34.2553929,-83.8587957,"131390011021"
"463","43","43",15017 000187,5338 TIMBERIDGE RD,5/27/2022,"$685,000.00",Qualified,FM,4.38,Residential,"2015","3087",$221.90,34.3237654,-83.7123168,"131390001021"
"464","862","862",15003 000135,4646 COBB GRIFFIN RD,2/16/2022,"$425,000.00",Qualified,FM,3.61,Residential,"2002","2510",$169.32,34.2862647,-83.6776212,"131390001021"
"465","1048","1048",15001 000026,6558 OLD GILLSVILLE RD,1/31/2022,"$290,000.00",Qualified,FM,2.74,Residential,"1945","1645",$176.29,34.3038363,-83.6247207,"131390001021"
"466","1312","1312",15004 000220,5635 HAWTHORN DR,1/7/2022,"$299,900.00",Qualified,FM,1.63,Residential,"2019","1368",$219.23,34.3238871,-83.6672773,"131390001021"
"467","1361","1361",15005 000129,5860 HENSLEY RD,1/3/2022,"$350,000.00",Qualified,FM,2.39,Residential,"2007","1872",$186.97,34.332411,-83.6598092,"131390001021"
"468","7","7",11134 000126,5412 FISHERMANS CV,7/8/2022,"$639,318.00",Qualified,FM,1.22,Residential,"2021","2961",$215.91,34.4061662,-83.9553948,"131390003041"
"469","98","98",10030 001051,5477 STEPSTONE WAY,4/15/2022,"$309,900.00",Qualified,FM,1.4,Residential,"2021","1817",$170.56,34.3956187,-83.9382873,"131390003041"
"470","122","122",11134 000090,5510 DOCKSIDE OVLK,4/13/2022,"$785,000.00",Qualified,FM,1.27,Residential,"2019","2625",$299.05,34.4108419,-83.9575294,"131390003041"
"471","176","176",10052A000037,4826 FOREST BLVD,4/5/2022,"$200,000.00",Qualified,FM,0.45,Residential,"1965","1780",$112.36,34.3866317,-83.9306121,"131390003041"
"472","518","518",11109A000025,5272 OLD HICKORY PL,3/11/2022,"$172,500.00",Qualified,FM,1.63,Residential,"1997","1296",$0.00,34.3998977,-83.9377244,"131390003041"
"473","632","632",11109A000073,5358 TEAKWOOD DR,3/2/2022,"$225,000.00",Qualified,FM,0.92,Residential,"1987","1440",$0.00,34.3968525,-83.9390506,"131390003041"
"474","677","677",11134 000136,5452 FISHERMANS CV,2/28/2022,"$720,105.00",Qualified,FM,1.33,Residential,"2021","2741",$262.72,34.4103671,-83.9552006,"131390003041"
"475","720","720",11134 000125,5408 FISHERMANS CV,2/25/2022,"$311,000.00",Unqualified,"50",1.54,Residential,"2021","2794",$111.31,34.4062505,-83.9562138,"131390003041"
"476","724","724",10052A000002,4822 COOL SPRINGS RD,2/25/2022,"$289,000.00",Qualified,FM,0.8,Residential,"1973","1332",$216.97,34.385159,-83.9322668,"131390003041"
"477","725","725",10052A000002,4822 COOL SPRINGS RD,2/25/2022,"$289,000.00",Qualified,FM,0.8,Residential,"1973","1332",$216.97,34.385159,-83.9322668,"131390003041"
"478","968","968",11108 000032,4961 SUN SCAPE CT,2/7/2022,"$400,000.00",Qualified,FM,1.25,Residential,"2006","2754",$145.24,34.4046674,-83.929176,"131390003041"
"479","975","975",10030 001031,5439 STEPSTONE WAY,2/4/2022,"$294,900.00",Qualified,FM,0.59,Residential,"2021","1817",$162.30,34.3956187,-83.9382873,"131390003041"
"480","1062","1062",10030 001032,5443 STEPSTONE WAY,1/28/2022,"$307,620.00",Qualified,FM,1.1,Residential,"2021","1508",$203.99,34.3956187,-83.9382873,"131390003041"
"481","1108","1108",11134 000089,5449 FISHERMANS CV,1/27/2022,"$775,000.00",Qualified,FM,1.32,Residential,"2015","3852",$201.19,34.4102597,-83.9565239,"131390003041"
"482","1123","1123",10030 001042,5464 OLD LANTERN WAY,1/26/2022,"$298,500.00",Qualified,FM,1.67,Residential,"2021","1817",$164.28,34.3958836,-83.9375791,"131390003041"
"483","1167","1167",11134 000102,5527 DOCKSIDE OVLK,1/21/2022,"$990,421.00",Qualified,FM,1.41,Residential,"2021","2691",$368.05,34.4114306,-83.959253,"131390003041"
"484","1179","1179",11109 000015,5111 DUDLEY HILL RD,1/21/2022,"$245,000.00",Qualified,FM,1.5,Residential,"1993","1024",$239.26,34.404351,-83.9413669,"131390003041"
"485","1276","1276",10011B000034,5777 RIDGEWATER DR,1/12/2022,"$980,000.00",Qualified,FM,0.64,Residential,"1987","2867",$341.82,34.3973556,-83.9737441,"131390003041"
"486","1286","1286",10030 000007,5311 W G ROBINSON RD,1/11/2022,"$209,950.00",Qualified,FM,2.77,Residential,"1998","0",$0.00,34.3917846,-83.9396172,"131390003041"
"487","1325","1325",10052A002021,4924 FOREST DR,1/7/2022,"$150,000.00",Qualified,FM,1.29,Residential,"1976","1372",$109.33,34.3889819,-83.9327218,"131390003041"
"488","1309","1309",01030 005001,613 SW DAVIS ST,1/7/2022,"$210,000.00",Qualified,FM,0.27,Residential,"1949","1388",$151.30,34.2868981,-83.8249073,"131390011011"
"489","191","191",01022 007004,432 SE FAIR ST,4/4/2022,"$405,000.00",Qualified,FM,0.29,Residential,"1950","1287",$314.69,34.3010865,-83.816536,"131390008003"
"490","328","328",01021 007017,2129 SE MARTIN LUTHER KING JR BLVD,3/25/2022,"$137,000.00",Qualified,FM,0.22,Residential,"1950","1200",$114.17,34.2964212,-83.8147288,"131390008003"
"491","166","166",15012 002036,4192 MANGUM MILL RD,4/6/2022,"$208,000.00",Qualified,FM,0.23,Residential,"1975","1080",$192.59,34.240337,-83.7067743,"131390007021"
"492","169","169",15011 000044,4123 HAZEL NUT DR,4/6/2022,"$716,900.00",Unqualified,"51",0.79,Residential,"1970","1386",$517.24,34.247738,-83.7068988,"131390007021"
"493","694","694",15012C000062,4669 TURNING LEAF DR,2/28/2022,"$273,600.00",Qualified,FM,0.62,Residential,"2001","1186",$230.69,34.2351371,-83.6973072,"131390007021"
"494","850","850",15012C000056,4693 TURNING LEAF DR,2/16/2022,"$277,500.00",Qualified,FM,0.77,Residential,"2001","1300",$213.46,34.233773,-83.6968505,"131390007021"
"495","908","908",15011 000066,4004 TWIN SPRINGS RD,2/11/2022,"$249,000.00",Qualified,FM,0.39,Residential,"1975","1100",$226.36,34.2445558,-83.7064006,"131390007021"
"496","1303","1303","15015D000144",3613 AMBER PTE,1/7/2022,"$130,500.00",Qualified,FM,0.92,Residential,"1990","1016",$128.44,34.2471496,-83.7093848,"131390007021"
"497","1328","1328",15012C000007,4611 TURNING LEAF DR,1/6/2022,"$237,000.00",Qualified,FM,0.73,Residential,"2002","1094",$216.64,34.2345399,-83.7008368,"131390007021"
"498","147","147",15042A000011,5467 UNION CHURCH RD,4/11/2022,"$590,000.00",Qualified,FM,1.47,Residential,"1997","2052",$287.52,34.1400295,-83.8554409,"131390016031"
"499","164","164","15038D000035",5131 DAYLILY DR,4/6/2022,"$391,500.00",Qualified,FM,0.59,Residential,"2002","2240",$174.78,34.163557,-83.8402381,"131390016031"
"500","187","187",15039B000065,5516 RIDGEMOOR DR,4/4/2022,"$630,000.00",Qualified,FM,1.31,Residential,"2005","3467",$181.71,34.1389673,-83.8402796,"131390016031"
"501","195","195",15039F000025,6048 PARK BEND AVE,4/1/2022,"$399,000.00",Qualified,FM,0.17,Residential,"2003","2438",$163.66,34.1243808,-83.8274766,"131390016031"
"502","206","206",15039F000056,6151 MULBERRY PARK DR,4/1/2022,"$392,000.00",Qualified,FM,0.17,Residential,"2004","2332",$168.10,34.1247189,-83.8273108,"131390016031"
"503","297","297","15039D000001",5260 OLD WINDER HWY,3/29/2022,"$141,344.00",Unqualified,"51",2.04,Residential,"1990","0",$0.00,34.148569,-83.8375887,"131390016031"
"504","553","553",15039F000060,6176 MULBERRY PARK DR,3/9/2022,"$365,000.00",Qualified,FM,0.16,Residential,"2004","2426",$150.45,34.1255868,-83.826482,"131390016031"
"505","554","554",15039F000113,5766 RIVERMOORE DR,3/9/2022,"$470,000.00",Qualified,FM,0.16,Residential,"2017","2579",$182.24,34.1264571,-83.8265649,"131390016031"
