Parcel ID,Address,Sale Date,Sale Price,Acres,Parcel  Class ,Year  Built ,Square Ft ,Price Per  Square Ft ,Neighborhood
15042 000621,6870 KATE LN,1/20/2022,"$373,685.00 ",0.28,Residential,2021,2652,$140.91,05661 Cambridge
15047G000063,6879 SCARLET OAK WAY,1/20/2022,"$421,350.00 ",0.16,Residential,2021,1984,$212.37,05037K STERLING KNUTSON
08054 004034,5001 FAWNWOOD DR,1/20/2022,"$337,360.00 ",0.09,Residential,2021,1921,$175.62,08571 BRANNON RIDGE
08051 001240,3675 ACORN DR,1/19/2022,"$259,900.00 ",0.04,Residential,2021,1544,$168.33,08128 The Reserve at Oak Station
09079B000130,6349 WOODLAND STATION DR,1/19/2022,"$325,875.00 ",0.5,Residential,2021,2577,$126.46,07073 MAGNOLIA STATION
15047G000088,7024 BLACKBIRD CT,1/18/2022,"$385,485.00 ",0.17,Residential,2021,1860,$207.25,05037K STERLING KNUTSON
08075 002046A,5606 BARBERRY AVE,1/18/2022,"$322,990.00 ",0.12,Residential,2021,2361,$136.80,08075 Prescott
08075 002047A,5610 BARBERRY AVE,1/18/2022,"$338,990.00 ",0.14,Residential,2021,2535,$133.72,08075 Prescott
08151 002090,5383 SUMMER OAK LN,1/18/2022,"$571,510.00 ",0.31,Residential,2021,3700,$154.46,08032 Summerlyn
15042 000625,6859 KATE LN,1/18/2022,"$460,000.00 ",0.17,Residential,2021,2652,$173.45,05661 Cambridge
08111 003270,5979 SCREECH OWL DR,1/18/2022,"$357,990.00 ",0.14,Residential,2021,2613,$137.00,08111 Summit Lake
08024 006201,4410 SW CHESTNUT OAK WAY,1/14/2022,"$483,336.00 ",0.18,Residential,2021,3160,$152.95,08018B White Oak Park @ MM
15041 000301A,5990 ROLLINGWOOD WAY,1/14/2022,"$430,000.00 ",0.14,Residential,2021,1596,$269.42,05013A DEL WEBB @ CHATEAU ELAN
15042 000611,6752 CAMBRIDGE DR,1/14/2022,"$354,820.00 ",0.17,Residential,2021,2682,$132.30,05661 Cambridge
08065 000281,5103 WATCHMANS CV,1/14/2022,"$427,500.00 ",0.16,Residential,2021,2939,$145.46,08065 Stephens Point
15042 000234,5526 PLEASANT WOODS DR,1/13/2022,"$471,582.00 ",1.4,Residential,2021,2929,$161.00,05087 Parks @ Chestnut Mtn.
10068 000095,3632 GALLEY CT,1/13/2022,"$420,442.00 ",0.8,Residential,2021,2432,$172.88,L47019 - THE SHORES AT LYNNCLIFF COVE
08075 002095A,5396 BARBERRY AVE,1/13/2022,"$312,990.00 ",0.1,Residential,2021,2060,$151.94,08075 Prescott
15042 000440,6984 LANCASTER XING,1/13/2022,"$467,409.00 ",0.17,Residential,2021,3110,$150.29,05662 Lancaster
08075 002196A,5241 WILD BERRY CT,1/13/2022,"$320,990.00 ",0.13,Residential,2021,2060,$155.82,08075 Prescott
09079B000022,6350 WOODLAND STATION DR,1/12/2022,"$284,345.00 ",0.5,Residential,2021,2255,$126.10,07073 MAGNOLIA STATION
15042 000446,7016 LANCASTER XING,1/12/2022,"$380,375.00 ",0.29,Residential,2021,2329,$163.32,05662 Lancaster
15042 000630,6939 MANCHESTER DR,1/11/2022,"$481,560.00 ",0.23,Residential,2021,3510,$137.20,05661 Cambridge
01115A000042,1532 NW BLUFF VALLEY CIR,1/10/2022,"$243,900.00 ",0.02,Residential,2021,1514,$161.10,LG7005 Bluffs at Lanier
08065 000285,5119 WATCHMANS CV,1/7/2022,"$434,920.00 ",0.16,Residential,2021,2865,$151.80,08065 Stephens Point
12127 000074,8625 DRAKE DR,1/7/2022,"$497,900.00 ",1,Residential,2021,2669,$186.55,03034 MALLARD VIEW
09032 000016,7785 BILL WILSON RD,1/6/2022,"$325,000.00 ",1.5,Residential,2021,1860,$174.73,09270 MUD CREEK/COUNTY LINE/TRIBBLE GAP AREA
01115A000043,1534 NW BLUFF VALLEY CIR,1/6/2022,"$240,000.00 ",0.02,Residential,2021,1514,$158.52,LG7005 Bluffs at Lanier
01115A000045,1538 NW BLUFF VALLEY CIR,1/6/2022,"$243,900.00 ",0.02,Residential,2021,1514,$161.10,LG7005 Bluffs at Lanier
01115A000044,1536 NW BLUFF VALLEY CIR,1/6/2022,"$236,400.00 ",0.02,Residential,2021,1514,$156.14,LG7005 Bluffs at Lanier
